title,date_or_period,author_or_creator,description_or_abstract,url_to_original_object,manuscript_id_or_shelfmark,trove_category,trove_id,trove_url
"USSR (Georgia, Armenia)-Turkey, Borzhomi, Series: K502, Sheet NK 38-7, 1955, 1:250 000",1955-2019,,,https://openresearch-repository.anu.edu.au/bitstreams/eed3315a-ee47-47d5-9fa9-e2275535bfe0/download,,image,235559079,https://trove.nla.gov.au/work/235559079
"Major Muslim ethnic groups in Armenia, Iran, and the Islamic Commonwealth states",1992,United States. Central Intelligence Agency,,http://hdl.loc.gov/loc.gmd/g7001e.ct000943,held,image,34902636,https://trove.nla.gov.au/work/34902636
"Hayastan ev Leṛnayin Gharabagh, kʼartēz / nakhagitsě--A. Muradyan ; heginak--Kollazh SPĚ = Armenia and Mountainous Karabakh map / project--A. Mouradyan ; author--Collage Ltd",2005-2012,"Beglaryan, Grigor",,https://trove.nla.gov.au/work/182055060,,image,182055060,https://trove.nla.gov.au/work/182055060
Departamento de Quindío,1995,"Instituto Geográfico ""Agustín Codazzi."". Subdirección Cartográfica",,https://trove.nla.gov.au/work/239323750,,image,239323750,https://trove.nla.gov.au/work/239323750
"Map of Armenia and adjacent countries / by H. F. B. Lynch & F. Oswald ; the material compiled by W. Shawe, 1901",1901,"Lynch, H. F. B. (Harry Finnis Blosse), 1862-1913",,https://trove.nla.gov.au/work/252143200,,image,252143200,https://trove.nla.gov.au/work/252143200
Armenien und Georgien um 1200 : Armenia and Georgia circa 1200 / Autor: Robert H. Hewsen ; Kartograph: Christian Bandomer ; Kartographische Gesamtleitung: Wolfgang Denk,1988,"Hewsen, Robert H",,https://trove.nla.gov.au/work/35377169,,image,35377169,https://trove.nla.gov.au/work/35377169
Colches Armenia Mesopotamia Assyria &c,1842,"Arrowsmith, Samuel, d. 1839",,https://trove.nla.gov.au/work/34311396,3772826 - MAP Ra 119,image,34311396,https://trove.nla.gov.au/work/34311396
Consequences of aggression of Armenia against Azerbaijan,2019,Azerbaijan. Xarici Işlär Nazirliyi,,https://trove.nla.gov.au/work/248602029,,image,248602029,https://trove.nla.gov.au/work/248602029
"Kaukasus : Caucasus, Armenia, Azerbaijan, Georgia = Caucase = Cáucaso = Kavkaz",2019,Reise Know-How Verlag,,https://trove.nla.gov.au/work/255079561,,image,255079561,https://trove.nla.gov.au/work/255079561
"Armenia, Mesopotamia, Babylonia et Assyria cum adjacentibus regionibus",1855,"Spruner von Merz, Karl, 1803-1892",,https://trove.nla.gov.au/work/172093320,3798603 - MAP Ra 139,image,172093320,https://trove.nla.gov.au/work/172093320
"Armenia according to the Sevres Peace Treaty : august 10, 1920 and arbitration decision by US president Voodrow Wilson / map is formed and published by the State Committee of the Real Property Cadastre of the Government of the RA ; ; author, B. Harutyunyan ; editor in chief, A. Nazaryan",2007,Geodeziayi ev Kʻartezagrutʻyan Kentron (Armenia),,https://trove.nla.gov.au/work/253833926,,image,253833926,https://trove.nla.gov.au/work/253833926
"Armenia guide map, Yerevan city panorama",2011,Kollazh SPĚ,,https://trove.nla.gov.au/work/234658553,held,image,234658553,https://trove.nla.gov.au/work/234658553
"Armenia, guide-map, Yerevan city panorama / Collage Agency = Kʻartēz-ughʻetsuytsʻ / Kollazh",2007-2014,Kollazh SPĚ,,https://trove.nla.gov.au/work/182834720,,image,182834720,https://trove.nla.gov.au/work/182834720
"Major States & Cultures of the World c.100 CE -- North America, South America, Africa, Europe, Asia, Australia, Roman Empire, Armenia, Central America Map / Maps.com(CR)",1999,Maps.com(CR),,https://ebookcentral.proquest.com/lib/uvic/detail.action?docID=3329795,,image,191327804,https://trove.nla.gov.au/work/191327804
"Stanfords ""Treaty map"" of south eastern Europe and Armenia",1878,Edward Stanford Ltd,,http://nla.gov.au/nla.obj-232290035-t,714532 - MAP RM 3513,image,33295546,https://trove.nla.gov.au/work/33295546
"Caucasus, Armenia-Azerbaijan-Georgia : scale 1:1,000,000 / prepared by Map Link",2003,GiziMap (Firm),,https://trove.nla.gov.au/work/251439527,,image,251439527,https://trove.nla.gov.au/work/251439527
